address,drink_names,prices,ratings,statuss,store_names
"78 Ngô Thì Nhậm, P. Hoà Minh, Quận Liên Chiểu, Đà Nẵng",Sinh tố bơ Còn hàng xoài,20000,4.5,Còn hàng,Sinh Tố Nga
"209 Phan Đăng Lưu, P. Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Soda đào,30000,4.5,Còn hàng,Milano Coffee - Phan Đăng Lưu
"605B Tôn Đức Thắng, P Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Lục Trà Kem Cheese,25000,4.5,Còn hàng,Mao - Coffee & BoBa Tea
"19 An Trung Đông 4, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",Cappuccino,42000,4.5,Còn hàng,The Nap Cafe
"15 Yên Bái, P. Hải Châu 1, Quận Hải Châu, Đà Nẵng",Sinh tố dừa dâu,32000,4.5,Còn hàng,Smile Coffee
"155 Lê Đình Lý, P. Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",Sữa Chua Xoài,23000,4.5,Còn hàng,Cafe & Trà Sữa BandB - Lê Đình Lý
"953 Ngô Quyền, Quận Sơn Trà, Đà Nẵng",Tôm viên chiên,10000,4.5,Còn hàng,Hali - Juice & Coffee - Ngô Quyền
"42 - 44 Hồ Tương, P. Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",Yogurt chanh dây,30000,4.5,Còn hàng,My's Coffee
"122 Lương Nhữ Hộc, P. Hoà Cường Bắc, Quận Hải Châu, Đà Nẵng",Yogurt đá viên,20000,4.5,Còn hàng,Vivi's Coffee House
"K126/23 Nguyễn Duy Hiệu, P. An Hải Đông, Quận Sơn Trà, Đà Nẵng",Nem Chua Rán ( phần lớn ),50000,4.5,Còn hàng,2CE - Trà Sữa & Ăn Vặt
"382 Nguyễn Hoàng, P. Bình Thuận, Quận Hải Châu, Đà Nẵng",Nước ép ổi,16000,4.5,Còn hàng,Sinh Tố - Nước Ép Cô Thu - Nguyễn Hoàng
"292A Tôn Đản, P. Hòa An, Quận Cẩm Lệ, Đà Nẵng",Pudding Trứng,5000,4.5,Còn hàng,BandB - Cafe & Trà Sữa - Tôn Đản
"10 Khúc Hạo, P. Mân Thái, Quận Sơn Trà, Đà Nẵng",TS Truyền thống Size 500ml,18000,4.5,Còn hàng,Trà Sữa & Cà Phê Sắc Màu
"78 Ngô Thì Nhậm, P. Hoà Minh, Quận Liên Chiểu, Đà Nẵng",Sinh tố đu đủ,20000,4.5,Còn hàng,Sinh Tố Nga
"209 Phan Đăng Lưu, P. Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Soda phúc bồn tử đá bào,30000,4.5,Còn hàng,Milano Coffee - Phan Đăng Lưu
"605B Tôn Đức Thắng, P Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",Trà dâu kem cheese,25000,4.5,Còn hàng,Mao - Coffee & BoBa Tea
"15 Yên Bái, P. Hải Châu 1, Quận Hải Châu, Đà Nẵng",Milk shake chocolate,29000,4.5,Còn hàng,Smile Coffee
"155 Lê Đình Lý, P. Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",Sữa Chua Hộp,10000,4.5,Còn hàng,Cafe & Trà Sữa BandB - Lê Đình Lý
"953 Ngô Quyền, Quận Sơn Trà, Đà Nẵng",Mực bento,15000,4.5,Còn hàng,Hali - Juice & Coffee - Ngô Quyền
"42 - 44 Hồ Tương, P. Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng",Yogurt xoài,30000,4.5,Còn hàng,My's Coffee
"122 Lương Nhữ Hộc, P. Hoà Cường Bắc, Quận Hải Châu, Đà Nẵng",Yogurt mơ (đá viên),25000,4.5,Còn hàng,Vivi's Coffee House
"K126/23 Nguyễn Duy Hiệu, P. An Hải Đông, Quận Sơn Trà, Đà Nẵng",Ốc Nhồi,12000,4.5,Còn hàng,2CE - Trà Sữa & Ăn Vặt
"292A Tôn Đản, P. Hòa An, Quận Cẩm Lệ, Đà Nẵng",Thạch Sương Sáo,5000,4.5,Còn hàng,BandB - Cafe & Trà Sữa - Tôn Đản
